Identifiant arc;Libelle;Date et heure de comptage;Débit horaire;Taux d'occupation;Etat trafic;Identifiant noeud amont;Libelle noeud amont;Identifiant noeud aval;Libelle noeud aval;Etat arc;Date debut dispo data;Date fin dispo data;geo_point_2d;geo_shape
5459;AE_A13_bretelle_5;2024-12-11T05:00:00+01:00;;;Inconnu;3233;A13_W;2859;AE_A13;Ouvert;1996-11-06;2023-01-01;48.84798974381635, 2.2520726124359323;"{""coordinates"": [[2.2492839800216, 48.848210588537555], [2.2498750372619276, 48.84816126006745], [2.2510105751745786, 48.84829076930316], [2.2519867143588597, 48.848329514317776], [2.252847620682472, 48.84821249875477], [2.2535402056121483, 48.847763981110646], [2.2545346481415813, 48.84683223911861]], ""type"": ""LineString""}"
5459;AE_A13_bretelle_5;2024-12-11T07:00:00+01:00;;;Inconnu;3233;A13_W;2859;AE_A13;Ouvert;1996-11-06;2023-01-01;48.84798974381635, 2.2520726124359323;"{""coordinates"": [[2.2492839800216, 48.848210588537555], [2.2498750372619276, 48.84816126006745], [2.2510105751745786, 48.84829076930316], [2.2519867143588597, 48.848329514317776], [2.252847620682472, 48.84821249875477], [2.2535402056121483, 48.847763981110646], [2.2545346481415813, 48.84683223911861]], ""type"": ""LineString""}"
5462;AE_A4_bretelle_11;2025-10-14T13:00:00+02:00;;7.65;Fluide;2865;A4W;3156;Bercy_bretelles_7-11;Ouvert;1996-11-07;2023-01-01;48.82639270403309, 2.3922636521497997;"{""coordinates"": [[2.392472238153124, 48.82564016646078], [2.392089926647914, 48.82636848688473], [2.3921779059713386, 48.82677282393933], [2.3925203327652027, 48.827080538995425]], ""type"": ""LineString""}"
5462;AE_A4_bretelle_11;2025-10-14T14:00:00+02:00;;6.5;Fluide;2865;A4W;3156;Bercy_bretelles_7-11;Ouvert;1996-11-07;2023-01-01;48.82639270403309, 2.3922636521497997;"{""coordinates"": [[2.392472238153124, 48.82564016646078], [2.392089926647914, 48.82636848688473], [2.3921779059713386, 48.82677282393933], [2.3925203327652027, 48.827080538995425]], ""type"": ""LineString""}"
5462;AE_A4_bretelle_11;2025-10-14T15:00:00+02:00;;7.0;Fluide;2865;A4W;3156;Bercy_bretelles_7-11;Ouvert;1996-11-07;2023-01-01;48.82639270403309, 2.3922636521497997;"{""coordinates"": [[2.392472238153124, 48.82564016646078], [2.392089926647914, 48.82636848688473], [2.3921779059713386, 48.82677282393933], [2.3925203327652027, 48.827080538995425]], ""type"": ""LineString""}"
5462;AE_A4_bretelle_11;2025-10-14T16:00:00+02:00;;6.7;Fluide;2865;A4W;3156;Bercy_bretelles_7-11;Ouvert;1996-11-07;2023-01-01;48.82639270403309, 2.3922636521497997;"{""coordinates"": [[2.392472238153124, 48.82564016646078], [2.392089926647914, 48.82636848688473], [2.3921779059713386, 48.82677282393933], [2.3925203327652027, 48.827080538995425]], ""type"": ""LineString""}"
5472;AE_A1_bretelle_8;2025-02-03T13:00:00+01:00;;;Inconnu;3557;Chapelle_bretelle_8;2839;AE_A1_bretelle_8;Ouvert;1996-11-07;2023-01-01;48.901200511043655, 2.3577520024414915;"{""coordinates"": [[2.358578214828629, 48.90154434553154], [2.3585512129060717, 48.90147178816462], [2.3582134193458413, 48.90126600515251], [2.3575715954017964, 48.901127945854455], [2.3568381944809897, 48.90103476176079]], ""type"": ""LineString""}"
5472;AE_A1_bretelle_8;2025-02-03T12:00:00+01:00;;;Inconnu;3557;Chapelle_bretelle_8;2839;AE_A1_bretelle_8;Ouvert;1996-11-07;2023-01-01;48.901200511043655, 2.3577520024414915;"{""coordinates"": [[2.358578214828629, 48.90154434553154], [2.3585512129060717, 48.90147178816462], [2.3582134193458413, 48.90126600515251], [2.3575715954017964, 48.901127945854455], [2.3568381944809897, 48.90103476176079]], ""type"": ""LineString""}"
5459;AE_A13_bretelle_5;2025-02-03T12:00:00+01:00;;;Inconnu;3233;A13_W;2859;AE_A13;Ouvert;1996-11-06;2023-01-01;48.84798974381635, 2.2520726124359323;"{""coordinates"": [[2.2492839800216, 48.848210588537555], [2.2498750372619276, 48.84816126006745], [2.2510105751745786, 48.84829076930316], [2.2519867143588597, 48.848329514317776], [2.252847620682472, 48.84821249875477], [2.2535402056121483, 48.847763981110646], [2.2545346481415813, 48.84683223911861]], ""type"": ""LineString""}"
6124;A6A_Y_Orleans_bretelle_4;2025-10-09T00:00:00+02:00;;;Inconnu;3175;SE_A6A-Orleans_bretelle_4;3153;A6A_Y;Invalide;1998-04-10;2023-01-01;48.81652476360582, 2.3345868832213594;"{""coordinates"": [[2.330453224777017, 48.818847726799376], [2.3316674305495932, 48.818589336420175], [2.3324914986646426, 48.81840219106517], [2.33308186522745, 48.81813213565216], [2.333885425078611, 48.81761440558156], [2.3350508115237667, 48.81692693625309], [2.3358735972736913, 48.816701635474075], [2.3364093884501678, 48.816594921346734], [2.336696421521, 48.81623184941679], [2.3360197650504344, 48.81413502455946], [2.3360522881802117, 48.81337859574719], [2.336341494495659, 48.812574970636696]], ""type"": ""LineString""}"
